unix,date,symbol,open,high,low,close,volume,tradecount
1639090000000,2021-12-10 00:00:00,BTC/USDT,47539.34,50188.42,46828.23,47136.35,14624324088,3440326
1639010000000,2021-12-09 00:00:00,BTC/USDT,50459.61,50773.03,47312.89,47539.76,13331462596,3003376
1638920000000,2021-12-08 00:00:00,BTC/USDT,50577.2,51210.6,48533.33,50455.61,11927549318,2569992
1638840000000,2021-12-07 00:00:00,BTC/USDT,50424.72,51929,50012,50577.2,11455372239,2571721
1638750000000,2021-12-06 00:00:00,BTC/USDT,49373.83,50888,47000,50424.72,17416560142,3868686
1638660000000,2021-12-05 00:00:00,BTC/USDT,49135.66,49699.49,47755,49376.6,14016018237,3163309
1638580000000,2021-12-04 00:00:00,BTC/USDT,53611.86,53889.69,40888.89,49135.66,28876836072,5884109
1638490000000,2021-12-03 00:00:00,BTC/USDT,56513.56,57670,50604,53612,20620928587,3755786
1638400000000,2021-12-02 00:00:00,BTC/USDT,57209.28,57428.49,55800,56513.57,14156805566,2673918
1638320000000,2021-12-01 00:00:00,BTC/USDT,56978.06,59100,56500,57209.29,15768296335,3149322
1638230000000,2021-11-30 00:00:00,BTC/USDT,57827.97,59224.99,55900,56975,19388577718,3850454
1638140000000,2021-11-29 00:00:00,BTC/USDT,57315.72,58924.21,56715,57827.98,12407120858,2447845
1638060000000,2021-11-28 00:00:00,BTC/USDT,54738.77,57474.76,53245,57315.73,11739217937,2393952
1637970000000,2021-11-27 00:00:00,BTC/USDT,53755.66,55300,53640.69,54738.77,8478100940,1975864
1637880000000,2021-11-26 00:00:00,BTC/USDT,58988.36,59186.41,53500,53755.65,20945137180,4127437
1637800000000,2021-11-25 00:00:00,BTC/USDT,57165.09,59449.62,57029,58988.21,11190941838,2413373
1637710000000,2021-11-24 00:00:00,BTC/USDT,57574.24,57775.27,55900,57165.08,11043276127,2459067
1637630000000,2021-11-23 00:00:00,BTC/USDT,56268.31,57888,55250,57574.23,15216816648,3319305
1637540000000,2021-11-22 00:00:00,BTC/USDT,58648.87,59624.56,55600,56268.31,18717910073,3832413
1637450000000,2021-11-21 00:00:00,BTC/USDT,59716.28,60052.82,58518.88,58661.39,8509909812,2034106
1637370000000,2021-11-20 00:00:00,BTC/USDT,58069.52,59873.84,57372,59716.29,10188245162,2257300
1637280000000,2021-11-19 00:00:00,BTC/USDT,56921.04,58333,55604,58069.51,14001797580,3004657
1637190000000,2021-11-18 00:00:00,BTC/USDT,60366.97,60999,56505.48,56921.05,24129304003,4629293
1637110000000,2021-11-17 00:00:00,BTC/USDT,60106.03,60848.85,58336.68,60366.96,17181720173,3416114
1637020000000,2021-11-16 00:00:00,BTC/USDT,63654.49,63655.77,58397.14,60106.03,28862014876,4669206
1636930000000,2021-11-15 00:00:00,BTC/USDT,65568.38,66395.05,63351.58,63654.49,13656636971,2387155
1636850000000,2021-11-14 00:00:00,BTC/USDT,64426.99,65569.99,63640,65568.39,9450438558,1786912
1636760000000,2021-11-13 00:00:00,BTC/USDT,64156.08,65073.24,63430.01,64427,7984348166,1585473
1636680000000,2021-11-12 00:00:00,BTC/USDT,64831.2,65500,62313,64156.08,16915954847,3146724
1636590000000,2021-11-11 00:00:00,BTC/USDT,64920.13,65646.98,64147.12,64831.3,11575850112,2510140
1636500000000,2021-11-10 00:00:00,BTC/USDT,67010.65,69198.7,62400.51,64920.13,23147498979,4348447
1636420000000,2021-11-09 00:00:00,BTC/USDT,67606.96,68675.16,66300,67009.98,15654216548,3087341
